Review,Rating
после s чувствуется разница в первую очередь в скорости работы и аккумуляторе размер корпуса стал больше удобнее смотреть фильмы фото живые  отличное качество много разных функций у камеры отличный айфон всем советую,5
купил жене в замен iphone  отличий  от s для пользователя реально нет ни во внешнем виде даже не понтанешься ни в функциях опять же кроме тач д короче вообще нет смысла покупать его если есть iphone  тем не менее телефон отличный,4
apple это качественная вещь и бренд тут не причем я перепробовала много телефонов но ios самая лучшая система без геморроев да есть платные вещи  как музыка но вы и получаете качественный товар и навсегда привязанный к вашему аккаунту,5
хочется взять и вернуть деньги за  тыс телефон не держит батарею это что вообще за переплата телефон не рекомендую есть огромное желание его выкинуть и купить самсунг эдж  а то будете бегать с блоком питания даже в магазин,2
ты любитель лопат но у тебя сейчас нет  тысяч на покупку xl тогда  xl тебе вполне подойдёт  из достоинств выделяю хорошую камеру за такую цену яркий и сочный дисплей недостатком является хлипкость сборки твёрдая  за данный девайс,4
в целом телефон отличный других смартфонов по такой цене и характеристикам просто нет есть недоработки но за такую цену их можно простить по моему мнению нет смысла переплачивать за бренд советую приобрести эту модель,4
за такую цену аппарат очень хорош все устраивает аккумулятор держит хорошо даже при активном пользовании интернетом и частыми звонками в игры особо не играю так что про них говорить ничего не буду аппарат очень нравится,5
изначально хотел телефон с хорошим аккумулятором и внутренней памятью по этим параметрам отлично подходил philips но внешне он уступал htc в итоге внешние параметры htc возобладали над практичностью собственно изза внешнего вида я его и взял,5
сразу скажу что являюсь любителем продукции htc до го было несколько desireов каждый из которых работал на отлично эта моделька конечно не идеальна но полностью оправдывает свою стоимость замечательный компаньон для работы и отдыха,5
в целом телефон нравится приятно лежит в руке легко подобрать аксессуары по работе с основными приложениями телефон справляется стабильно ловит сеть в общем за такие деньги хороший аппарат покупался в связном номер заказа ,4
рукоплещу разработчикам и самому multiphone  реально за такие деньги я получил качественный достойный двухсимочный аппарат все на высоте и дизайн и скорость работы и андроид стоит без тормозов и лагов очень доволен покупкой,5
телефон у меня почти год второй раз отдал в ремонт по гарантии первый раз заменили модуль дисплея щас уже второй раз отдал в ремонт у знакомых у кого была такая модель в итоге списали в брак лучше не покупать данную модель,2
покупал евротест за  рублей вполне приемлемая цена за аппарат такого качества этот аппарат  взлетная полоса для g и следующих за ним приемников правда тяжело найти оригинальный чехол только на остатках и за  рубчиков,5
 да нет разъема под sdкарту однако все не так плохо есть гб версия которую я и взял  скорость чтениязаписи выше нет проблем с переносом приложений и есть usbotg втыкаем через переходник обычную флешку  и вуаля,5
купил  недели назад все радует особенно производительность и автономность игры на максимальных настройках немного играю сижу через мобильный интернет подключаю блютуз гарнитуру с  утра до  вечера хватает даже еще остается около ,5
не доверяйте людям пишущим что недостатков нет они есть их полно но их полно и у конкурентов просто делайте свой выбор сам использую ку на данный момент так же есть пара флагманов других брендов есть с чем сравнить,4
за свои деньги  это просто супер смартфон до этого пользовался всеми гэлакси от  до  они просто нервно курят в сторонке при сравнении с g я счастлив как слон всем рекомендую этот аппарат в данной ценовой категории конкурентов нет,5
ни разу с июня не завис не перезагрузился сам качество изготовления порадовало всем рекомендовал б к покупке в  менять даже и не хочется очень нравится оболочка у лыжи в сравнении с сонькой эксперией  намного больше симпатизирует,5
очень сбалансированный и мощный телефон сравнивал с   lg g коллеги и удивился что g работает быстрее после установки мода на камеру я получил от телефона все что можно кроме одного  стилуса не хватает любил рисовать на ноуте стилусом,5
очень доволен покупкой пользовался до этого  года sgn но в нем сломал microusb порт выбирал между iphone s  lg g samsung galaxy note  iphone не понравился размером экрана  мелкий слишком я к такому не привык lg g  золотая середина,5
думаю за такие деньги лучше просто нет да и более дорогие модели врят ли чем то лучше на данный момент lg как брэнд на мобильном рынке только завоёвывает имя и потому цена более чем адекватна надо пользоваться пока можно,5
в целом за свои деньги телефон приносит только радость не жалею что взяла корейский их приложения все удалились без проблем баг по существу только один да и тот не страшный сразу защищайте стекло плёнкой и будет вам щастье,5
если у когото не будет на lg g работать функция knock on включение экрана двойным тапом по центру нужно набрать  зайти в пункт settings выбрать пункт update touch firmware и немного подождать после этого всё заработает,5
" аккумулятор сдыхает так как уже   года аппарату но все равно хватает до вечера живучий утопленник не надо покупать евротест и потом жаловаться на  проблемы например с экраномитогесли буду менять то только на новую модель lg",5
все что ни назови него в плюсах пользовался nokia lumia  zte nubia z mini iphone  после нубии как то и айфон был не очень малый экран напрягал и невозможность кастомизации а lg просто лучший долго очень выбирал и ни каплю не жалею,5
через пол года и обновления андроида на  начал дико трмозить не помог да же откат на  андроид через год случился отвал батарейки в общем с комфортом можно пользоваться данным аппаратом только пол года а затем покупать новый,1
ремонт прошел успешно отдали  декабря произвели замену модуля камеры все стало на свои места как писал выше  в данном телефоне все устраивает  батарея  она держит нормально  насчет экранного покрытия  оно нормально не критично,4
после андроида перешла на ios и изменять ему пока не собираюсь камера хорошая что бы не говорили батарею держит хорошо забываю когда заряжала для маленьких рук немного большеват но привыкнуть можно в целом аппаратом довольна но цена завышена,4
что умеет й айфон сейчас уже говорить некорректно просто скажу что для  года он отрабатывает все деньги и справляется со всеми возложенными на него задачами только советую брать модель от х гигов  маловато будет,5
