0,1
It works good but it goes slow sometimes but its a very good phone I love it,4
"The battery was old & had been over used because it barely holds a charge. Otherwise, no issues with the phone itself.",4
Phone good just a little slow phone old but it's a great phone temporary right now. thank you for the great deal,4
Phone's speaker little low. Overall very happy with the phone. I would purchase another cell phone from Chubbietech. I am satisfied.,4
the phone was great and in good condition. My Daughter is so happy the be a andriod user now !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Phone works great. No problems at all,5
was not in good condition but does work good,1
"as described, fast ship!",5
Perfect in every way.,5
One of the phones have a bad charger port. I want to send it back,2
Just got this phone and it is a great phone. It's easy to use.,5
The phone was great but it had gotten old so it was time for a replacement.it was great while it lasted.,5
This phone came in great condition! Great price and it brings back great memories of owning this phone!,5
Met all of my expectations. I can't complain at all. Great price!,5
"Phone is working on, I was planning to use it for whatsapp anyway. The oh problem, I can't change the idiom",5
excellent product in perfect condition,5
excellent,5
excelente,5
excelente,5
I like these phone I bought it for my mom and she loves it,2
It came with arabian keyboard :(,2
"I love the phone, but one problem and one problem only............once the mic goes that's it. No more mic. But it can take a beating.",3
I love it!,5
Very practical and user-friendly phone. I am very satisfied with it.,5
Sharp and classy phone,5
very good,5
100% gooddd!,5
Shipped quickly and was exactly what I expected!,5
Works wonderful for the price!,4
muy buen producto,5
Excellent,5
A friend mentioned this phone to me and it worth what he said. Thanks a lot my friend.,4
Excelente,5
"Excellent phone for my youngest son, with walk in reasonable options, and quality first",5
Excelente,5
solid phone,5
Good choice,5
"perfect, practical, easy to handle, good resolution, well packed",4
excellent product !!....all right....i recommend....,5
excelente,5
Excelente,5
GRACIAS ME LLEGO EL PROCTO QUE COMPRE Y LLEVO EN EL MOMENTO INDICADO Y EN UN BUEN ENVALAJE LO RECOMIENDO SASTIFACTORIAMENTE..,5
"The keys are a little hard to hit, and I didn't expect a Spanish keyboard. But overall, a very good phone.",4
loved everything about it. also it looks like any other touch phone but is not. which makes it stylish yet classic.,5
This phone in an excellent phone at a great price. I was impressed with the features of this phone and would recommend this to anyone.,5
Love it.,5
"Bought it as a gift for my Mum and she loves it. It is a strong durable phone, has good reception and it functions well.",5
"Incredible! This phone does not have Splaniish Language, I dont understand how can it be a international version, lost money!",1
BAD,1
good,5
