Review,Rating
"Отключается при температуре близкой к нулю, непонятно ведет себя батарея",4
Достойный телефон. Пользоваться одно удовольствие.,5
6s gold 64gb,5
"Проблемы чисто софтверные, и выражаются в явном неуважении компании к своим клиентам.",3
"Я для себя понял, что не стоит брать продукцию Apple. Купил эту ошибку природы за 54990 рублей, лучше бы купил Yota Phone.",3
Купила дочки ей очень понравилось,5
"Телефон больше модный,мажорный чем прогрессивный.Качество сборки на уровне дешевых аппаратов.",3
"Дизайн , конечно, хорош.",1
"я не знаю почему в отзывах ничего не сказано про аудио выход,тк он просто отвратный",3
"Меняться на ее леново уже не хочу, понравился самому).",5
"соотношение цена/качество на 5. достаточно шустры, отличный экран и приемлемая камера.",4
За такие деньги сойдет.,5
"купил только недавно, уверен--- не разочаруюсь",5
"Уже несколько часов пользуюсь этим телефоном, до этого был айфон 4, все устраивает.",5
покупать не рекомендую,3
"свои деньги он окупает за полгода пользования подвергался падениям с разных высот ,но все работает идеально",5
"Если Вам достаточно 64 Gb, то лучше посмотреть в сторону 5S. По быстродействию практически не отличаются.",4
"Отличный, как и все айфоны, но цены очень высока.",5
"Это мой третий айфон по счету и последний. Больно уж много стало косяков. На что переходить не знаю, свои проблемы есть в любой системе, а было все.",4
Очень  доволен  покупкой  будем  ждать  сколько  протянет,5
"Покупайте,но акселерометр плох и это все что заметил",3
"Все хорошо конечно, но есть недоработки",4
"Всем рекомендую. Браво, Престижио!!!",5
"Если б знала  все о нем как есть - дождалась бы НТС бюджетного какого-нибудь или Филлипс, или  Тексет в противоударном корпусе.",2
"Замечательный телефон.Пользуюсь 3 года уже никак не нарадуюсь.Столько всего пережил...За такую цену берите,не задумывайтесь",5
Телефон класный держит долго вобше самый успешный телефон за мои покупки.Стоить должен больше,5
"Пережил многое, 2 потопления, кучу падений на различные материалы, при этом жив!",5
"На 2 день использования завис ,вынимал и вставлял акум. 2 раза и только на второй раз помогло",4
в принципе баян не плохой если вам нужна болталка с набором офис+интернет,5
"Покупкой полностью доволен, аппарат устраивает на все 100%, решил не переплачивать деньги за бренд, и не жалею.",5
Отличный смарт .,4
"вообщем телефон замечательный,особенно за своиденьги",5
"Пользуюсь телефоном пару недель, аппаратом пока довольна.",5
"Пока нареканий никаких, малый объем встроенной памяти компенсирутся возможностью установка карты памяти.",5
меню  смартфона частково на англійській мові. хто знає як зробити все по українське???,4
"Отличный смарт за такие деньги.
""Чайник"" ломает телефон, спасает перепрошивка. Спокойно рутируется Фрамарут-ом.",4
"Молодцы разроботчики,сделали очень не плохой аппарат.Народ,берите смело,он точно стоит своих денег!!!",5
Выброшенные деньги! Не рекомендую категорически.,2
Эта модель протянула у меня всего год. Постоянные зависания и недостаток памяти заставил задуматься о покупке нового телефона.,3
"Телефон в целом отличный, и камера отличная",5
Доволен,3
после обновления ПО с исправлением бага с wi-fi камера потеряла пиксели((,4
Недорогой,5
"БРАТЬ не советую КАТЕГОРИЧЕСКИ, за такую цену можно и самсунг купить в 2 раза лучше и качественнее.",3
Цена слишком завышена!,3
"Пользую месяц, пробовал ставить другую ""звонилку"", не помогло. Жаль что не почитал отзывы. Весьма разочарован. Никому не рекомендую.",2
"Общее впечатление неплохое будем пользоваться дальше, номер заказа 26168988",3
Телефон хороший,5
"Берите лучше HTC820. То же самое, но экран чуть побольше, память больше.",5
быстро эффективно подобрали сотовый телефон htc,5
"Никому не советую этот телефон, я купила и пожалела, что потратила такие деньги(",1
За такие деньги это плохой вариант. Какой то кривой механизм извлзечения сим-карт.Вообщем плохой телефон,2
"хотела бы вернуть, не хватает времени",1
Работает с декабря без сбоев.,5
"Аккумулятор слабоват,но его хватает на целый день пользования интернтом.",4
"Вернули через неделю пользования, за эти деньги можно купить гораздо более приличный аппарат от другого производителя.",3
"На рынке хватает всевозможных вариантов! Но этот мне более по душе! После сони экспиреа м2 не долго привыкала. Камера,что надо!",5
"Советую брать , кто хочет не дорогой и адекватный смартфон .",5
"хороший телефон, но не для игр",4
только приобрела по рекомендации подруги,4
Ни в коем случае не покупайте данный аппарат. Очень сырой аппарат. Чудес с ним не будет.,1
"Самый бестолковый и неудобный телефон, который у меня когда-либо был. Не берите его, особенно для работы!",2
"Минус в том этого телефона что очень быстро садиться батарейка ,а так больше минусов сильных не замечено!",4
Вообщем при всех недостатках неплохой телефон. Если активно пользоваться Ватцапом и вибером будут проблемы с памятью.,4
Куплен в связном.номер заказа 32709800,4
Спасибо Озону за быструю и как всегда качественную доставку!,5
Короче покупайте Samsung и будет вам счастье!!!,3
"Купил вчера, покупкой очень доволен, всем советую брать.",5
За такие деньги (4990 руб.) отличное устройство. Подойдет для любителей поиграть и посидеть в интернете.,5
"в целом,покупкой довольна,берите,цена все маленькие недочеты покрывает!)))))",5
После закачки дополнительных программ этот прибор становится монстром на учебе,4
С корпусом надо поработать.,4
Купили в фирменном магазине HTC в Санкт-Петербурге. Может от этого качество зависит,5
"Пользуюсь им меньше года. Постоянно тормозит, лагает страшно. Нету фронтальной камеры, сборка ужасная",3
"Вообщем я разочарован, накоплю денежков и куплю другой аппарат.",2
"Юзал его около года. Долго искал замену.

Приобрел Philips w832 - тоже двухсимочник, но звонит, в отличие от нтс он гораздо стабильнее.",2
"Результатов пока не знаю, хожу без телефона вообще...",2
"Прекрасный телефон,стоит брать.Только долго нужно разбираться в нем(без инструкции трудно)",5
"советую всем этот телефон, только перед покупкой как следует проверьте его. всяко бывает....",5
"Отличный смартфон за адекватную цену. Считаю стоит каждого рубля заплаченного за него. Покупкой доволен на все сто, взял в день старта продаж",5
"Счастливый обладатель данного смартфона, пользоваться одно удовольствие. Советую к покупке.",5
"Для 2013 года - это просто улет. Сейчас отдал брату, захотелось попробовать айфон.)",4
"Телефон - супер.
До данного девайса использовал Iphone 4 и Samsung Galaxy S3",5
Покупайте Nexus 5 - выигрывает цена/качество LG G2,3
Тянет любое приложение хороший динамик.Моя оценка супер положительная,5
Стоит потраченных на него денег по соотношению мечта/качество :),5
Больше лыжи брать не буду.,2
